gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT03/1392206,Riot,GAM Esports,Talon Esports,MonkeyKing,Karthus,Tristana,Aphelios,Braum,Malphite,Nidalee,Cassiopeia,Ezreal,Bard,0
ESPORTSTMNT03/1401865,VCS,Team Flash,EVOS Esports,Ornn,Trundle,Ryze,Aphelios,Pantheon,Akali,Gragas,Irelia,MissFortune,Sett,1
6310-7995,LDL,Joy Dream,LinGan e-Sports,Ornn,LeeSin,Leblanc,Aphelios,Thresh,MonkeyKing,Trundle,Syndra,MissFortune,Yuumi,1
6591-8256,LPL,Suning,eStar,Renekton,Graves,Orianna,Ezreal,Leona,MonkeyKing,LeeSin,Leblanc,Aphelios,Thresh,1
6065-7546,LPL,LGD Gaming,Royal Never Give Up,Ornn,Kindred,Azir,Senna,TahmKench,Vladimir,LeeSin,Syndra,Kalista,Sett,1
ESPORTSTMNT02/1405442,LCK,DRX,SeolHaeOne Prince,Renekton,Kindred,Orianna,Ezreal,Karma,Gnar,Nidalee,Zoe,Ashe,Nautilus,0
ESPORTSTMNT03/1341507,LCK,KT Rolster,Gen.G,Shen,JarvanIV,Galio,Aphelios,Braum,Ornn,RekSai,Sylas,Kalista,Sett,0
ESPORTSTMNT02/1333569,LCS,Evil Geniuses,FlyQuest,Sett,Gragas,Ryze,Kalista,Taric,Aatrox,Pantheon,Azir,Varus,Braum,1
ESPORTSTMNT02/1413450,CK,Jin Air Green Wings,RunAway,Renekton,Olaf,Syndra,Caitlyn,Thresh,Kennen,Sett,Sylas,Jhin,Blitzcrank,1
ESPORTSTMNT02/1413832,OPL,Avant Gaming,Pentanet.GG,Lucian,Lillia,Katarina,Kaisa,Alistar,Karma,Graves,Kassadin,Aphelios,Braum,0
ESPORTSTMNT03/1392213,OCS,RMIT Redbacks,Mammoth Academy,Malphite,Sejuani,Lucian,Varus,Nautilus,Fiora,Elise,Syndra,Ezreal,Thresh,0
ESPORTSTMNT03/1441978,LCK,Afreeca Freecs,Gen.G,Gnar,Hecarim,Orianna,Kalista,Sett,Renekton,Lillia,Ekko,Ezreal,Alistar,0
6653-8714,LPL,Bilibili Gaming,Royal Never Give Up,Volibear,Sylas,Azir,Ezreal,Bard,Gangplank,Olaf,Orianna,Ashe,Karma,1
ESPORTSTMNT04/1250246,TCL,Galatasaray Esports,Beşiktaş Esports,Vladimir,RekSai,Jayce,Karthus,Thresh,Ornn,Khazix,Ryze,Ashe,Pantheon,1
ESPORTSTMNT03/1334675,LLA,Azules Esports,Infinity Esports,Sett,Gragas,Zoe,Ezreal,TahmKench,Gangplank,JarvanIV,Syndra,MissFortune,Nautilus,0
ESPORTSTMNT04/1180093,TCL,Team AURORA,Papara SuperMassive,Urgot,Gragas,Viktor,Varus,Thresh,Renekton,LeeSin,Corki,Kalista,Taric,1
5974-7356,LPL,Vici Gaming,JD Gaming,Ornn,JarvanIV,Galio,MissFortune,Rakan,Mordekaiser,RekSai,Leblanc,Xayah,Nautilus,0
6326-8049,LDL,Oh My Dream,EDG Youth Team,Renekton,Trundle,Akali,Aphelios,Thresh,Aatrox,Nidalee,Jayce,Kalista,Nautilus,1
ESPORTSTMNT04/1130560,TRA,Team AURORA Academy,Beşiktaş Academy,Ornn,JarvanIV,Sylas,Varus,Braum,Aatrox,Sejuani,Kayn,MissFortune,Yuumi,1
6517-8729,LDL,All Combo,LinGan e-Sports,Jax,LeeSin,Galio,Aphelios,Nautilus,Renekton,RekSai,Azir,Senna,Thresh,0
6307-7980,LDL,Team WE Academy,LGD Gaming Young Team,MonkeyKing,Graves,Galio,Aphelios,Leona,Aatrox,Trundle,Zoe,MissFortune,Nautilus,1
ESPORTSTMNT03/1411777,LLA,XTEN Esports,Isurus,Renekton,Kayn,Corki,Xayah,Rakan,Mordekaiser,Trundle,Zoe,MissFortune,Thresh,0
6602-8348,LPL,Top Esports,Victory Five,MonkeyKing,LeeSin,Karma,Aphelios,Nautilus,Ornn,Graves,TwistedFate,Kalista,Thresh,0
6346-8124,LDL,Invictus Gaming Young,Oh My Dream,MonkeyKing,Ekko,Pantheon,Ashe,Thresh,Renekton,Karthus,Pyke,Ziggs,Sett,1
ESPORTSTMNT05/1410735,LEC,Team Vitality,FC Schalke 04 Esports,Ornn,LeeSin,Zoe,Kaisa,Nautilus,Aatrox,RekSai,Viktor,Aphelios,Braum,0
ESPORTSTMNT03/1353710,PCS,Machi Esports,Talon Esports,Aatrox,RekSai,Corki,Varus,Thresh,Jayce,Trundle,Syndra,MissFortune,Blitzcrank,1
6684-8918,LPL,Top Esports,Suning,Jax,Sett,Orianna,Caitlyn,Lux,Mordekaiser,Graves,Azir,Jhin,Morgana,1
ESPORTSTMNT04/1240457,LEC,Team Vitality,Excel Esports,Urgot,LeeSin,Zoe,Ezreal,Leona,Camille,Sett,Leblanc,Aphelios,Thresh,0
ESPORTSTMNT01/1360408,LLA,Rainbow7,Isurus,Maokai,Gragas,Yasuo,MissFortune,Morgana,Aatrox,Skarner,Vladimir,Varus,Thresh,0
5655-7249,LPL,Invictus Gaming,FunPlus Phoenix,Aatrox,Qiyana,Rumble,Senna,Braum,Ornn,JarvanIV,Ryze,MissFortune,Leona,1
5666-7274,LPL,Royal Never Give Up,Bilibili Gaming,Aatrox,LeeSin,Leblanc,MissFortune,Morgana,Gangplank,Gragas,Lissandra,Aphelios,Leona,0
6303-7973,LDL,Invictus Gaming Young,Dominus Esports Young,MonkeyKing,Graves,Syndra,Aphelios,Thresh,Malphite,Karthus,Pantheon,MissFortune,Sett,1
6401-8324,LDL,EDG Youth Team,V5 87,Renekton,LeeSin,Orianna,Aphelios,Nautilus,Ornn,Trundle,Fiddlesticks,Ashe,Thresh,0
ESPORTSTMNT03/1402150,VCS,Team Secret,Saigon Buffalo,Renekton,Graves,TwistedFate,Ashe,Braum,MonkeyKing,Kindred,Galio,Kalista,Nautilus,1
ESPORTSTMNT01/1434879,VCS,EVOS Esports,Team Secret,MonkeyKing,Sejuani,Cassiopeia,Aphelios,Thresh,Volibear,Nocturne,Ryze,Ashe,Bard,1
6284-7903,LDL,Dominus Esports Young,LGD Gaming Young Team,Mordekaiser,Ekko,Pantheon,Lucian,Yuumi,Renekton,Graves,Neeko,Ezreal,Nautilus,1
6537-8794,LDL,Bilibili Gaming Junior,Royal Club,Camille,Karthus,Pantheon,Ezreal,Bard,Fiora,Ekko,Qiyana,Ashe,Thresh,1
ESPORTSTMNT01/1303666,VCS,GAM Esports,EVOS Esports,Ornn,JarvanIV,Cassiopeia,Senna,TahmKench,Mordekaiser,Sejuani,Irelia,MissFortune,Leona,1
ESPORTSTMNT05/1430439,TCL,5 Ronin,Royal Youth,Vayne,Elise,Cassiopeia,Varus,Nautilus,Sett,LeeSin,Viktor,MissFortune,Braum,1
6519-8738,LDL,Suning-S,Team WE Academy,Jayce,Ekko,Sett,Aphelios,Thresh,Camille,Trundle,Zoe,Senna,TahmKench,1
ESPORTSTMNT06/1180493,LCL,CrowCrowd,Gambit Esports,Ornn,Gragas,Cassiopeia,Varus,Taric,Mordekaiser,Trundle,Akali,Kalista,Rakan,0
6298-7954,LDL,Vici Gaming Potential,JingNetGame,Aatrox,Graves,Karma,Ezreal,Yuumi,Ornn,Elise,Irelia,Kaisa,Nautilus,1
ESPORTSTMNT04/1150442,LEC,Origen,Team Vitality,Renekton,Sylas,Ornn,Aphelios,Braum,Olaf,Gragas,Azir,MissFortune,Leona,1
5987-7388,LPL,Bilibili Gaming,eStar,Gangplank,Olaf,Karma,Varus,Leona,Renekton,LeeSin,Corki,Ezreal,Nautilus,0
ESPORTSTMNT02/1281574,LCS,Team SoloMid,FlyQuest,Aatrox,Pantheon,Taliyah,Aphelios,Braum,Ornn,LeeSin,Syndra,MissFortune,Yuumi,0
ESPORTSTMNT02/1404280,CBLOL,Vivo Keyd,FURIA Esports,Kennen,Graves,Qiyana,Vayne,Thresh,Sylas,Nidalee,Jayce,Kalista,Pantheon,0
6058-7510,LPL,Rogue Warriors,Top Esports,MonkeyKing,LeeSin,Leblanc,Kalista,Alistar,Malphite,JarvanIV,Galio,MissFortune,Nautilus,1
6707-8947,LDL,Vici Gaming Potential,Legend Esport Gaming,Gangplank,Graves,Akali,Kalista,Sett,Rumble,Volibear,Zed,Aphelios,Thresh,1
ESPORTSTMNT01/1293897,CK,Spear Gaming,Asura,Aatrox,LeeSin,Syndra,Aphelios,Nautilus,Lucian,RekSai,Ekko,MissFortune,Thresh,1
ESPORTSTMNT02/1323914,LLA,XTEN Esports,Azules Esports,Sett,LeeSin,Zoe,Jhin,Nautilus,Fiora,Elise,Azir,MissFortune,Thresh,1
ESPORTSTMNT02/1413490,LCK,Team Dynamics,Afreeca Freecs,Kennen,Olaf,Karma,Caitlyn,Lux,Irelia,Karthus,Syndra,Aphelios,Nautilus,1
6680-8803,LPL,Victory Five,FunPlus Phoenix,Renekton,Sett,Zoe,Senna,Leona,Volibear,Lillia,Karma,Kalista,Nautilus,1
ESPORTSTMNT01/1306519,VCS,CERBERUS Esports,Saigon Buffalo,Kennen,Elise,Tristana,Xayah,Blitzcrank,Ornn,LeeSin,Leblanc,Aphelios,Nautilus,1
6400-8311,LDL,optical spectrum E-sports,Rogue Warriors Shark,Renekton,Nidalee,Lissandra,Ashe,Braum,Volibear,Graves,Sylas,Aphelios,Nautilus,1
ESPORTSTMNT05/1530156,LEC,FC Schalke 04 Esports,Origen,Ornn,LeeSin,Akali,Senna,TahmKench,Aatrox,Sejuani,Lucian,Syndra,Blitzcrank,1
ESPORTSTMNT02/1401352,PCS,Nova Esports,Resurgence,Kalista,Sett,Syndra,Xayah,Rakan,Maokai,LeeSin,Lucian,Ashe,Nautilus,1
5961-7326,LPL,LNG Esports,Bilibili Gaming,Qiyana,Elise,Azir,Senna,TahmKench,Aatrox,Sejuani,Sylas,Aphelios,Nautilus,1
ESPORTSTMNT01/1325619,LJL,DetonatioN FocusMe,Sengoku Gaming,Gnar,Elise,Syndra,Ezreal,TahmKench,Aatrox,Olaf,Viktor,Varus,Thresh,0
ESPORTSTMNT06/1200090,EM,Movistar Riders,K1ck Neosurf,Maokai,Graves,Syndra,Tristana,Taric,Ornn,LeeSin,Azir,Aphelios,Bard,1
ESPORTSTMNT01/1305624,LCK,Griffin,SANDBOX Gaming,Aatrox,Gragas,Jayce,Senna,Braum,Kennen,Olaf,Zoe,Varus,TahmKench,0
6125-7720,LPL,EDward Gaming,Royal Never Give Up,Ornn,Trundle,Syndra,MissFortune,Yuumi,Sylas,Kindred,Rumble,Varus,Braum,1
6588-8242,LPL,Dominus Esports,Team WE,MonkeyKing,LeeSin,Cassiopeia,Ashe,Braum,Camille,Volibear,TwistedFate,Kaisa,Thresh,1
6441-8462,LDL,FunPlus Phoenix Blaze,All Combo,Volibear,Nidalee,Jayce,Kalista,Alistar,MonkeyKing,Ekko,Pantheon,Varus,Nautilus,1
ESPORTSTMNT02/1403833,LCS,Dignitas,Cloud9,Renekton,Lillia,Sett,Ashe,Karma,Gangplank,Nidalee,Orianna,Senna,Nautilus,0
6501-8672,LDL,JingNetGame,Young Miracles,Poppy,Graves,Leblanc,Kalista,Bard,Renekton,Volibear,Lissandra,Ashe,Lulu,1
ESPORTSTMNT02/1333016,VCS,CERBERUS Esports,Team Flash,Sett,Kindred,Sylas,Cassiopeia,Thresh,Kennen,Trundle,Jayce,Kalista,Taric,0
6104-7600,LDL,Invictus Gaming Young,Triumphant Song Gaming,Renekton,Kindred,Zoe,Senna,Thresh,Jax,Nidalee,Pantheon,MissFortune,Maokai,1
ESPORTSTMNT01/1424842,LCS,Team SoloMid,Dignitas,MonkeyKing,Sett,Syndra,Xayah,Rakan,Jayce,Karthus,Ekko,Ashe,TahmKench,1
6549-8835,LDL,optical spectrum E-sports,Suning-S,Ornn,Nidalee,Qiyana,Jhin,Thresh,Shen,Olaf,Zoe,Ezreal,Karma,0
6217-7891,LPL,Oh My God,EDward Gaming,Aatrox,LeeSin,Syndra,Kalista,Taric,Mordekaiser,Graves,Galio,Aphelios,Nautilus,0
6297-7948,LDL,Shu Dai Xiong Gaming,FunPlus Phoenix Blaze,Ornn,Ekko,Lissandra,Aphelios,Leona,Mordekaiser,Graves,Leblanc,Kalista,Nautilus,0
ESPORTSTMNT03/1334435,PCS,Hong Kong Attitude,Berjaya Dragons,Sett,LeeSin,Syndra,Kaisa,Thresh,Renekton,RekSai,Leblanc,Ezreal,Braum,0
5979-7369,LPL,Bilibili Gaming,JD Gaming,Ornn,Maokai,Zoe,Ezreal,Thresh,Aatrox,Sylas,Lucian,Kalista,Bard,0
6659-8752,LPL,Rogue Warriors,Royal Never Give Up,Renekton,Ekko,Jayce,Senna,TahmKench,Volibear,Graves,Azir,Ashe,Karma,0
ESPORTSTMNT05/1540444,LCL,CrowCrowd,One Breath Gaming,Renekton,Nidalee,Syndra,Senna,Nautilus,Malphite,Graves,Zoe,Kalista,Thresh,0
ESPORTSTMNT05/1540064,TRA,İstanbul Wildcats Academy,Galatasaray Academy,Camille,Volibear,Syndra,Kaisa,Leona,Poppy,Olaf,Zoe,Ezreal,Bard,1
6146-7698,LDL,Vici Gaming Potential,Royal Club,Renekton,Taliyah,Neeko,Kalista,Nautilus,Aatrox,Elise,Pantheon,Varus,Braum,1
ESPORTSTMNT04/1150193,LCL,M19,Elements Pro Gaming,Ornn,Elise,Cassiopeia,MissFortune,Leona,Mordekaiser,RekSai,Anivia,Varus,Nautilus,0
ESPORTSTMNT02/1392292,LLA,XTEN Esports,Azules Esports,Pantheon,Elise,Corki,Aphelios,Nautilus,Ornn,LeeSin,Azir,Ezreal,Thresh,0
ESPORTSTMNT05/1400921,TCL,Galakticos,Papara SuperMassive,Sett,Ekko,Leblanc,Xayah,Rakan,Mordekaiser,RekSai,Zoe,Aphelios,Leona,0
6224-7943,LPL,Invictus Gaming,Rogue Warriors,Jayce,RekSai,Orianna,Aphelios,Thresh,Ornn,LeeSin,Azir,Ezreal,Leona,1
ESPORTSTMNT01/1291748,LCS,Team Liquid,FlyQuest,Ornn,JarvanIV,Zoe,Aphelios,Braum,Mordekaiser,LeeSin,Syndra,Senna,Rakan,1
ESPORTSTMNT01/1434866,LJL,DetonatioN FocusMe,Fukuoka SoftBank Hawks gaming,Mordekaiser,Volibear,Syndra,Kalista,Leona,Kennen,LeeSin,Ekko,Ashe,Alistar,0
6007-7435,LPL,Bilibili Gaming,Team WE,Sett,JarvanIV,Corki,MissFortune,Nautilus,Aatrox,Gragas,Rumble,Varus,Thresh,0
ESPORTSTMNT03/1403538,CK,OZ Gaming,Jin Air Green Wings,Renekton,Nidalee,TwistedFate,Ezreal,Pantheon,Ornn,Trundle,Azir,Varus,Leona,1
ESPORTSTMNT03/1412105,LLA,All Knights,XTEN Esports,Kennen,Volibear,Azir,Kalista,Nautilus,Aatrox,LeeSin,Zilean,Ashe,Thresh,1
ESPORTSTMNT01/1425916,CK,Awesome Spear,Element Mystic,Karma,Trundle,Orianna,Ezreal,Leona,Volibear,Gragas,Yasuo,Aphelios,Nautilus,1
ESPORTSTMNT02/1381556,LCS.A,Cloud9 Academy,Evil Geniuses Academy,Aatrox,RekSai,Zoe,Aphelios,Nautilus,Sett,Trundle,Orianna,Senna,Karma,0
ESPORTSTMNT02/1297403,CK,Jin Air Green Wings,hyFresh Blade,Sett,Elise,Lucian,Ezreal,TahmKench,Mordekaiser,LeeSin,Cassiopeia,MissFortune,Nautilus,0
ESPORTSTMNT06/1320893,TCL,Papara SuperMassive,5 Ronin,Sion,Lillia,Azir,Caitlyn,Nautilus,MonkeyKing,Kindred,Orianna,Ezreal,Leona,1
5977-7364,LPL,LNG Esports,Victory Five,Ornn,JarvanIV,Zoe,Aphelios,Nautilus,Aatrox,RekSai,Neeko,Pyke,Orianna,1
ESPORTSTMNT06/1310485,EM,AGO ROGUE,Movistar Riders,Shen,Sett,Azir,Ezreal,Bard,Gangplank,Hecarim,Syndra,Kaisa,Leona,0
6355-8159,LDL,All Combo,Oh My Dream,Aatrox,Trundle,Lissandra,Aphelios,Thresh,Mordekaiser,LeeSin,Leblanc,Ezreal,Nautilus,1
ESPORTSTMNT03/1332659,LCK,Hanwha Life Esports,SeolHaeOne Prince,Aatrox,Sejuani,Taliyah,MissFortune,Yuumi,Zilean,JarvanIV,Azir,Ezreal,Lulu,0
ESPORTSTMNT04/1250201,TCL,Papara SuperMassive,5 Ronin,Renekton,Olaf,Orianna,Ezreal,Bard,MonkeyKing,Kindred,Syndra,Yasuo,Senna,0
ESPORTSTMNT01/1425178,LCS,Golden Guardians,100 Thieves,Karma,Olaf,Zoe,Aphelios,Sett,Kennen,LeeSin,Orianna,Ashe,Bard,1
ESPORTSTMNT03/1331477,CBLOL,KaBuM! e-Sports,FURIA Esports,Ornn,Khazix,Zoe,Ezreal,Braum,Sett,LeeSin,Syndra,Xayah,Nautilus,1
ESPORTSTMNT01/1422597,CK,Awesome Spear,hyFresh Blade,Camille,Sett,Sylas,Ezreal,Braum,Volibear,Trundle,Leblanc,Varus,TahmKench,1
ESPORTSTMNT04/1230207,TCL,Beşiktaş Esports,Dark Passage,Gnar,Sett,Corki,Aphelios,Braum,Renekton,Olaf,Azir,Kalista,Taric,1
ESPORTSTMNT05/1430432,TCL,Beşiktaş Esports,Team AURORA,Neeko,Trundle,Irelia,Aphelios,Braum,Aatrox,JarvanIV,Sylas,Ezreal,Sett,0
ESPORTSTMNT01/1293850,CK,Asura,Spear Gaming,Kled,Olaf,Akali,MissFortune,Bard,Kennen,LeeSin,Ryze,Aphelios,Braum,1
ESPORTSTMNT03/1415585,LCK,DRX,Hanwha Life Esports,Camille,Volibear,Azir,Ashe,Kayle,Poppy,Olaf,Karma,Aphelios,Taric,1
ESPORTSTMNT01/1315397,LCK,T1,DRX,Aatrox,Trundle,Leblanc,Kalista,Taric,Sett,Gragas,Ornn,Caitlyn,Braum,1
ESPORTSTMNT03/1340657,CBLOL,Vivo Keyd,Redemption eSports Porto Alegre,Ornn,Trundle,Leblanc,Varus,Thresh,Sylas,Sejuani,Zoe,Aphelios,Braum,1
6367-8202,LDL,Team WE Academy,Dominus Esports Young,Mordekaiser,Graves,Karma,Varus,Alistar,Sett,LeeSin,Galio,Sivir,Yuumi,1
ESPORTSTMNT04/1250160,LEC,Rogue,FC Schalke 04 Esports,Renekton,Volibear,Orianna,Aphelios,Leona,Urgot,Graves,TwistedFate,Ashe,Nautilus,1
5956-7315,LPL,Suning,eStar,Aatrox,Elise,Azir,MissFortune,Nautilus,Maokai,JarvanIV,Rumble,Varus,Thresh,0
ESPORTSTMNT02/1404868,LFL,LDLC OL,GamersOrigin,Gangplank,Skarner,Corki,Ezreal,Braum,Jayce,Volibear,Leblanc,Kaisa,Sett,0
ESPORTSTMNT01/1306604,CK,Team Dynamics,hyFresh Blade,Irelia,Elise,Ryze,Varus,Braum,Aatrox,LeeSin,Mordekaiser,MissFortune,Bard,0
ESPORTSTMNT04/1250352,TRA,Galakticos Academy,5 Ronin Academy,Aatrox,Trundle,Ekko,Senna,Karma,Renekton,Sett,Galio,Ezreal,Bard,0
ESPORTSTMNT03/1404391,OPL,Chiefs Esports Club,MAMMOTH,Maokai,Olaf,TwistedFate,Kalista,Nautilus,MonkeyKing,Trundle,Morgana,Heimerdinger,Karma,0
6134-7640,LDL,V5 87,Dominus Esports Young,Ornn,MonkeyKing,Neeko,MissFortune,Thresh,Mordekaiser,Sylas,Renekton,Varus,Nautilus,0
ESPORTSTMNT02/1271104,LCS,Team Liquid,Team SoloMid,Ornn,JarvanIV,Orianna,Xayah,Rakan,Gangplank,Elise,Zilean,MissFortune,Leona,1
ESPORTSTMNT02/1415155,LFL,Misfits Premier,LDLC OL,Kennen,LeeSin,Azir,Kalista,Sett,Camille,Lillia,Ezreal,Ashe,Nautilus,0
ESPORTSTMNT05/1410179,TCL,Dark Passage,Papara SuperMassive,Ornn,Olaf,Ziggs,Aphelios,Nautilus,Aatrox,Elise,Cassiopeia,MissFortune,Thresh,0
ESPORTSTMNT03/1415817,VCS,Percent Esports,Team Flash,Volibear,Trundle,Syndra,Kaisa,Bard,Ornn,Sett,Orianna,Ezreal,Yuumi,0
ESPORTSTMNT03/1414311,LCS,Evil Geniuses,Golden Guardians,MonkeyKing,Trundle,Leblanc,Ezreal,TahmKench,Volibear,LeeSin,Lissandra,Aphelios,Karma,0
ESPORTSTMNT03/1241396,KeSPA,Afreeca Freecs,DRX,Camille,Qiyana,Orianna,MissFortune,Braum,Aatrox,LeeSin,Fizz,Varus,Thresh,1
6148-7697,LDL,Invictus Gaming Young,FunPlus Phoenix Blaze,Renekton,Ekko,Pantheon,MissFortune,Thresh,Mordekaiser,Trundle,Rumble,Kalista,Blitzcrank,1
6632-8573,LPL,Rogue Warriors,Bilibili Gaming,Ornn,Graves,Zoe,Kaisa,Nautilus,Sylas,Sett,Leblanc,Ezreal,Bard,0
ESPORTSTMNT05/1430715,LCS,FlyQuest,Team SoloMid,Sett,Olaf,Azir,Varus,Thresh,Aatrox,Sejuani,Ekko,Aphelios,Nautilus,1
ESPORTSTMNT01/1401197,OPL,Avant Gaming,MAMMOTH,Mordekaiser,Trundle,Ekko,Caitlyn,Senna,Ornn,Graves,Kaisa,Ezreal,Nautilus,1
ESPORTSTMNT01/1306413,LJL,DetonatioN FocusMe,Sengoku Gaming,Sett,JarvanIV,Syndra,Ezreal,Thresh,Soraka,Olaf,Orianna,MissFortune,Nautilus,1
ESPORTSTMNT01/1304264,CBLOL,INTZ,Prodigy Esports,Ornn,Elise,Leblanc,Aphelios,Rakan,Renekton,LeeSin,Syndra,Varus,Nautilus,0
ESPORTSTMNT03/1404821,VCS,Team Secret,GAM Esports,MonkeyKing,Gragas,Akali,Aphelios,Bard,Malphite,Nidalee,Jayce,Ashe,Thresh,0
6215-7876,LPL,Bilibili Gaming,FunPlus Phoenix,Ornn,Graves,Leblanc,Kalista,Braum,Kayle,Olaf,Galio,Aphelios,Nautilus,0
ESPORTSTMNT01/1315367,VCS,Team Secret,EVOS Esports,Sett,Elise,Azir,MissFortune,Rakan,Renekton,Olaf,Neeko,Kalista,Braum,0
ESPORTSTMNT06/1180367,EM,Racoon,Intrepid Fox Gaming,Sett,Elise,Ziggs,Varus,Blitzcrank,Renekton,RekSai,Sylas,Ezreal,Thresh,0
ESPORTSTMNT02/1293718,LCK,SANDBOX Gaming,Afreeca Freecs,Sett,Gragas,Viktor,Kalista,Thresh,Gangplank,Elise,Ornn,MissFortune,Blitzcrank,0
ESPORTSTMNT02/1413496,OPL,Avant Gaming,ORDER,MonkeyKing,Volibear,Taliyah,Kalista,Taric,Renekton,Skarner,Orianna,Ezreal,Braum,0
6219-7912,LPL,Top Esports,JD Gaming,Sion,Trundle,Orianna,Ezreal,Yuumi,MonkeyKing,Graves,Azir,Ashe,Bard,1
6247-8128,LPL,JD Gaming,Rogue Warriors,MonkeyKing,LeeSin,Corki,Aphelios,Bard,Volibear,Sett,Zoe,Kalista,Blitzcrank,1
ESPORTSTMNT06/1320126,LCL,Gambit Esports,CrowCrowd,Renekton,Volibear,Galio,Ashe,Nautilus,Sion,Hecarim,Cassiopeia,Sona,Lux,1
ESPORTSTMNT03/1442971,LCS,Team Liquid,FlyQuest,Ornn,Hecarim,Zilean,Kalista,Thresh,Sett,Evelynn,Orianna,Ashe,Braum,1
6011-7445,LPL,Royal Never Give Up,EDward Gaming,Gangplank,JarvanIV,Rumble,Senna,Nautilus,Mordekaiser,RekSai,Sylas,Varus,Thresh,1
ESPORTSTMNT03/1411452,LCS.A,Cloud9 Academy,Dignitas Academy,Camille,Volibear,Orianna,Syndra,Nautilus,Aatrox,Olaf,Karma,Aphelios,Thresh,1
6617-8454,LPL,Invictus Gaming,Victory Five,Kennen,Graves,Neeko,Aphelios,Thresh,Ornn,Nidalee,Sett,Ashe,Pantheon,1
6360-8174,LDL,JingNetGame,Shu Dai Xiong Gaming,Renekton,LeeSin,Syndra,Varus,Rakan,Ornn,Graves,Ekko,Ezreal,Bard,0
ESPORTSTMNT06/1160499,TRA,SuperMassive Academy,Beşiktaş Academy,Aatrox,Karthus,Ornn,MissFortune,TahmKench,Vladimir,RekSai,Camille,Aphelios,Thresh,0
ESPORTSTMNT02/1413560,LCK,Hanwha Life Esports,KT Rolster,Kennen,Trundle,Azir,Caitlyn,Thresh,Lucian,Graves,Ekko,Ashe,Bard,0
ESPORTSTMNT05/1390233,LEC,Team Vitality,MAD Lions,Rumble,RekSai,Cassiopeia,Varus,Braum,Mordekaiser,JarvanIV,Zoe,MissFortune,Rakan,0
ESPORTSTMNT02/1414880,VCS,Percent Esports,EVOS Esports,Jayce,Shyvana,Sett,Heimerdinger,Pyke,Renekton,Karthus,Irelia,Senna,Lux,0
6371-8211,LDL,Shu Dai Xiong Gaming,Invictus Gaming Young,Aatrox,Graves,Galio,Senna,Sett,Ornn,Kindred,Syndra,Ezreal,Taric,0
ESPORTSTMNT06/1310239,EM,Five Kings,7more7 Pompa Team,Sylas,Olaf,Azir,Caitlyn,Bard,Ornn,Trundle,Leblanc,Ezreal,Karma,0
ESPORTSTMNT01/1433458,OCS,Gravitas Academy,Pentanet.GG Rise,Volibear,Fiddlesticks,Lucian,Kaisa,Sett,Poppy,Trundle,Corki,Xayah,Rakan,0
ESPORTSTMNT01/1323141,LCS.A,TSM Academy,Golden Guardians Academy,Sett,Zac,Syndra,Kalista,Taric,Kled,Sejuani,Zoe,Ezreal,Nautilus,1
6626-8527,LPL,Vici Gaming,Oh My God,Renekton,Sett,Leblanc,Aphelios,Nautilus,Karma,Trundle,Azir,Ashe,Braum,1
6403-8327,LDL,All Combo,eStar Young,Jax,MonkeyKing,Galio,Varus,Leona,Vladimir,Kindred,Volibear,Ezreal,Karma,1
ESPORTSTMNT02/1271075,LCS.A,Team Liquid Academy,TSM Academy,Kennen,JarvanIV,Zoe,Aphelios,Nautilus,Aatrox,LeeSin,Cassiopeia,Senna,Braum,0
ESPORTSTMNT04/1240464,LEC,SK Gaming,MAD Lions,Sion,Sett,Orianna,Ezreal,Bard,Maokai,LeeSin,Syndra,Kaisa,Nautilus,1
ESPORTSTMNT03/1392533,MSC,FunPlus Phoenix,JD Gaming,Ornn,Graves,Kassadin,Varus,TahmKench,Renekton,Nidalee,Corki,Varus,Thresh,0
ESPORTSTMNT03/1301276,CBLOL,Flamengo Esports,Vivo Keyd,Renekton,Elise,Qiyana,Varus,Thresh,Vladimir,Taliyah,Camille,Xayah,Nautilus,1
ESPORTSTMNT02/1393862,CK,Griffin,Jin Air Green Wings,Aatrox,Kayn,TwistedFate,Kalista,Thresh,Ornn,Graves,Orianna,Aphelios,Braum,0
ESPORTSTMNT02/1296008,LFL,GameWard,Solary,Sett,LeeSin,Cassiopeia,Sivir,Yuumi,Gangplank,Sejuani,Zoe,Ashe,Zyra,1
ESPORTSTMNT05/1400553,TRA,SuperMassive Academy,5 Ronin Academy,Aatrox,Ekko,Pantheon,Aphelios,Braum,Sett,Elise,Cassiopeia,Ezreal,Bard,0
ESPORTSTMNT03/1441159,CK,ESC Shane,RunAway,Ornn,Lillia,Lucian,Ashe,Braum,Renekton,Nidalee,Orianna,Jhin,Nautilus,1
ESPORTSTMNT01/1321580,PCS,Alpha Esports,Liyab Esports,Renekton,LeeSin,Leblanc,MissFortune,Thresh,Jayce,JarvanIV,Zoe,Ezreal,Taric,1
6226-7965,LPL,Victory Five,Bilibili Gaming,Renekton,Nidalee,Sett,Ezreal,Thresh,Mordekaiser,Trundle,Leblanc,Aphelios,Yuumi,1
