gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT03/1433631,LJL,DetonatioN FocusMe,Sengoku Gaming,Shen,Nidalee,Heimerdinger,Senna,Leona,Gnar,Lillia,Azir,Jhin,Nautilus,1
ESPORTSTMNT02/1297312,VCS,Team Flash,EVOS Esports,Ornn,Olaf,Lucian,Ezreal,Nautilus,Vladimir,Trundle,Cassiopeia,Xayah,Thresh,0
ESPORTSTMNT02/1404992,CK,Griffin,Awesome Spear,Quinn,Lillia,Camille,Senna,Bard,Renekton,Volibear,Zoe,Ashe,TahmKench,1
ESPORTSTMNT02/1404690,LFL,GameWard,Misfits Premier,Ornn,Trundle,Swain,Caitlyn,Lux,Volibear,Nidalee,Syndra,Kalista,Leona,0
ESPORTSTMNT01/1432114,LCS,Counter Logic Gaming,Dignitas,Ornn,Graves,Zoe,Ezreal,Nautilus,Riven,Sett,Orianna,Ashe,Bard,0
ESPORTSTMNT03/1352467,LLA,XTEN Esports,Infinity Esports,Aatrox,Elise,Pantheon,Kaisa,Taric,Ornn,Olaf,Leblanc,Xayah,Rakan,0
ESPORTSTMNT01/1291845,LCS.A,100 Thieves Academy,Team Liquid Academy,Mordekaiser,RekSai,Akali,Xayah,Rakan,Sett,LeeSin,Sylas,Aphelios,Thresh,1
ESPORTSTMNT02/1296216,CK,Asura,Jin Air Green Wings,Renekton,Sejuani,Leblanc,Xayah,Rakan,Gangplank,Trundle,Azir,MissFortune,Yuumi,1
6388-8273,LDL,Shu Dai Xiong Gaming,optical spectrum E-sports,Mordekaiser,Volibear,Azir,Kalista,Sett,Kled,Ekko,Pantheon,Aphelios,Thresh,1
ESPORTSTMNT02/1284202,OPL,Avant Gaming,Legacy Esports,Aatrox,Olaf,Ryze,Ziggs,Karma,Soraka,JarvanIV,Cassiopeia,Aphelios,Thresh,0
ESPORTSTMNT02/1270874,LCS,FlyQuest,Counter Logic Gaming,Aatrox,RekSai,Rumble,Aphelios,Leona,Camille,JarvanIV,Zoe,Senna,Nautilus,1
ESPORTSTMNT03/1401429,OPL,Dire Wolves,Avant Gaming,Volibear,RekSai,Orianna,Aphelios,Sett,Karma,LeeSin,Ekko,Kaisa,Nautilus,1
ESPORTSTMNT02/1295891,LCK,Griffin,T1,Mordekaiser,Olaf,Zoe,Kalista,Nautilus,Gangplank,Trundle,Leblanc,MissFortune,Taric,0
ESPORTSTMNT02/1381912,OPL,Gravitas,Pentanet.GG,Poppy,Trundle,Orianna,Ashe,Karma,Ornn,Sett,Kassadin,Aphelios,Lulu,0
ESPORTSTMNT01/1431668,LCS.A,Dignitas Academy,Golden Guardians Academy,Sett,Gragas,Lucian,MonkeyKing,Senna,Aatrox,Volibear,Galio,Ashe,Thresh,0
6141-7667,LDL,Shu Dai Xiong Gaming,Victorious Gaming,Jayce,Gragas,Zoe,Senna,Sett,Aatrox,Graves,Lissandra,Kalista,Taric,1
ESPORTSTMNT02/1415403,OCS,Dire Cubs,UQ Union,Shen,Volibear,Azir,Aphelios,Nautilus,Vayne,Khazix,Zoe,Senna,Karma,1
6312-8001,LDL,FunPlus Phoenix Blaze,eStar Young,Ornn,LeeSin,Zoe,Aphelios,Braum,Poppy,Nidalee,TwistedFate,Ezreal,Nautilus,0
ESPORTSTMNT02/1394183,LCS.A,Evil Geniuses Academy,Dignitas Academy,Rumble,Volibear,Irelia,Twitch,Yuumi,MonkeyKing,Graves,Orianna,Ezreal,Leona,1
ESPORTSTMNT02/1394860,CBLOL,Flamengo Esports,Santos e-Sports,Renekton,LeeSin,TwistedFate,Ezreal,Nautilus,Hecarim,MonkeyKing,Viktor,Ashe,Braum,1
ESPORTSTMNT02/1391133,OCS,Pentanet.GG Rise,UQ Union,Vladimir,Sett,Zoe,Aphelios,Nautilus,Kled,Trundle,Ekko,Ezreal,Thresh,0
ESPORTSTMNT06/1320672,EM,Movistar Riders,SuppUp eSports,Urgot,Sett,Syndra,Caitlyn,Morgana,Camille,Volibear,TwistedFate,Jhin,Soraka,1
ESPORTSTMNT02/1323832,VCS,Saigon Buffalo,GAM Esports,Renekton,LeeSin,Leblanc,Syndra,Senna,Kennen,JarvanIV,Tristana,Varus,Yuumi,0
ESPORTSTMNT03/1324185,VCS,Team Secret,Saigon Buffalo,Rumble,Olaf,Tristana,Ezreal,Braum,Irelia,Elise,Ryze,Senna,TahmKench,0
6255-8183,LPL,Team WE,JD Gaming,Renekton,Olaf,Galio,Ashe,Sett,Mordekaiser,Kayn,Azir,MissFortune,Nautilus,1
ESPORTSTMNT03/1351335,CK,Spear Gaming,Asura,Aatrox,JarvanIV,Zoe,Aphelios,Thresh,Maokai,Trundle,Syndra,Ezreal,Blitzcrank,1
ESPORTSTMNT02/1293807,LCK,DRX,Gen.G,Pantheon,Olaf,Akali,Kalista,Volibear,Rumble,JarvanIV,Galio,Ezreal,Yuumi,0
ESPORTSTMNT03/1442675,OPL,ORDER,Legacy Esports,Ornn,Hecarim,Azir,Caitlyn,Morgana,Renekton,Nidalee,Ziggs,Senna,Lux,0
ESPORTSTMNT03/1442006,LCK,KT Rolster,DAMWON Gaming,Jayce,Hecarim,TwistedFate,Ashe,Lulu,Renekton,Nidalee,Azir,Senna,Leona,0
ESPORTSTMNT02/1292716,LCK,DRX,T1,Sett,LeeSin,Ziggs,Xayah,Rakan,Renekton,Nidalee,Ornn,MissFortune,Morgana,0
ESPORTSTMNT02/1281605,LCS,Evil Geniuses,Immortals,Renekton,LeeSin,Leblanc,Lucian,Yuumi,Ornn,RekSai,Corki,Ezreal,Braum,1
6631-8570,LPL,Vici Gaming,Dominus Esports,Renekton,Volibear,Zoe,Kalista,Nautilus,Kennen,Poppy,Syndra,Senna,Sett,1
ESPORTSTMNT03/1431634,VCS,Team Flash,Team Secret,Ornn,Nidalee,Lucian,Ezreal,Yuumi,MonkeyKing,Graves,Syndra,Jhin,Leona,1
ESPORTSTMNT02/1294500,LCS,Dignitas,Immortals,Mordekaiser,JarvanIV,Orianna,Aphelios,Thresh,Ornn,Sejuani,Corki,MissFortune,Nautilus,1
ESPORTSTMNT03/1401101,OCS,Pentanet.GG Rise,Chiefs Academy,Poppy,Volibear,Corki,Xayah,Rakan,Sett,Kayn,Orianna,Aphelios,Bard,1
ESPORTSTMNT01/1415469,LCK,Afreeca Freecs,Team Dynamics,Mordekaiser,Trundle,Galio,Aphelios,Nautilus,Lucian,Graves,Karma,Ezreal,Leona,1
6036-7447,LPL,Vici Gaming,LNG Esports,Renekton,RekSai,Sylas,Kalista,Taric,Mordekaiser,Olaf,Leblanc,Varus,Sett,0
ESPORTSTMNT06/1190182,EM,Kenty,For The Win Esports,Sett,RekSai,Ziggs,Varus,Nautilus,Gangplank,LeeSin,Zoe,Aphelios,Leona,1
ESPORTSTMNT01/1360603,BRCC,Santos e-Sports,Havan Liberty Gaming,Fiora,Pantheon,Orianna,Ashe,Braum,Aatrox,Morgana,Irelia,MissFortune,Nautilus,1
ESPORTSTMNT03/1334720,LJL,Sengoku Gaming,Rascal Jester,Gnar,Elise,Pantheon,Ezreal,Braum,Kennen,RekSai,Sett,Varus,Nautilus,0
6336-8092,LDL,optical spectrum E-sports,LinGan e-Sports,Ornn,Nidalee,Ekko,Ezreal,Nautilus,Renekton,LeeSin,Sylas,Aphelios,Leona,1
5994-7403,LPL,Invictus Gaming,eStar,Rumble,Trundle,Lucian,Ezreal,Nautilus,Maokai,JarvanIV,Corki,Varus,Thresh,0
ESPORTSTMNT01/1320599,LFL,GamersOrigin,Vitality.Bee,Ornn,Olaf,Zoe,Kaisa,Nautilus,Mordekaiser,JarvanIV,Cassiopeia,Ezreal,Yuumi,1
ESPORTSTMNT01/1291406,LCS,Counter Logic Gaming,100 Thieves,Kayle,RekSai,Lucian,Aphelios,Leona,Sett,JarvanIV,Zoe,Xayah,Rakan,0
6718-9001,LDL,Shu Dai Xiong Gaming,Invictus Gaming Young,Camille,Olaf,Zoe,Aphelios,Thresh,Ornn,Graves,Leblanc,Ashe,Nautilus,0
ESPORTSTMNT01/1302595,LCK,T1,DAMWON Gaming,Sett,Gragas,Rumble,MissFortune,Leona,Mordekaiser,LeeSin,Ryze,Aphelios,Braum,0
ESPORTSTMNT02/1323467,OPL,ORDER,Dire Wolves,Renekton,Sejuani,Azir,Kalista,Taric,Aatrox,JarvanIV,Syndra,Varus,Braum,1
ESPORTSTMNT05/1520649,TCL,5 Ronin,Team AURORA,Kalista,Elise,Azir,Sivir,Braum,Poppy,Graves,Syndra,Varus,Nautilus,0
6086-7613,LPL,Victory Five,Bilibili Gaming,Renekton,Gragas,Varus,Bard,Jayce,Ornn,Trundle,Azir,Kaisa,Sett,0
ESPORTSTMNT03/1433733,LJL,V3 Esports,DetonatioN FocusMe,Sion,Lillia,Zoe,Aphelios,Leona,Shen,Nidalee,Azir,Jhin,Rakan,1
ESPORTSTMNT03/1413882,VCS,Team Flash,GAM Esports,Volibear,LeeSin,Zoe,MissFortune,Leona,Jax,Shyvana,Lucian,Heimerdinger,Pantheon,0
ESPORTSTMNT05/1440596,LCS,Team SoloMid,100 Thieves,Pantheon,Olaf,Azir,Kalista,Taric,Sett,Gragas,Viktor,MissFortune,Nautilus,0
ESPORTSTMNT06/1190375,EM,Sector One,Defusekids,Ornn,Olaf,Cassiopeia,Aphelios,Rakan,Riven,Sejuani,Xerath,Senna,TahmKench,0
ESPORTSTMNT02/1296686,VCS,FTV Esports,V Gaming Adonis,Sett,Sylas,Ryze,MissFortune,Braum,Ornn,JarvanIV,Orianna,Aphelios,Karma,0
ESPORTSTMNT01/1422617,CK,Element Mystic,ESC Shane,Neeko,Volibear,TwistedFate,Ezreal,TahmKench,Camille,Olaf,Sylas,Sivir,Sett,0
6394-8298,LDL,WanZhen Esports Club,Victorious Gaming,Renekton,Taliyah,Nocturne,Varus,Braum,Gnar,Nidalee,Jayce,Kalista,Nautilus,1
ESPORTSTMNT03/1401873,PCS,J Team,PSG Talon,MonkeyKing,Trundle,Fiddlesticks,Ezreal,Bard,Gangplank,LeeSin,Lissandra,Aphelios,Thresh,0
6291-7930,LDL,Victorious Gaming,Oh My Dream,Kennen,Nidalee,Qiyana,Varus,Bard,Renekton,Trundle,Galio,Sivir,Thresh,0
ESPORTSTMNT01/1390362,BRCC,Team oNe eSports,Santos e-Sports,Jayce,RekSai,Corki,Senna,Maokai,Irelia,Trundle,Orianna,Aphelios,Lulu,0
ESPORTSTMNT03/1332688,LCK,SeolHaeOne Prince,Hanwha Life Esports,Aatrox,JarvanIV,Zoe,Ezreal,Braum,Lucian,Elise,Rumble,MissFortune,Thresh,1
ESPORTSTMNT05/1540088,TRA,Galatasaray Academy,SuperMassive Academy,Sett,Graves,Ekko,Xayah,Rakan,Aatrox,Olaf,Azir,Ashe,Bard,1
ESPORTSTMNT04/1130253,TCL,1907 Fenerbahçe Esports,Galakticos,Lucian,Qiyana,Ryze,Varus,Zilean,Ornn,Elise,Viktor,MissFortune,Braum,1
ESPORTSTMNT01/1321598,PCS,ahq eSports Club,Hong Kong Attitude,Renekton,Olaf,Rumble,Ezreal,Thresh,Aatrox,Trundle,Sylas,MissFortune,Blitzcrank,1
ESPORTSTMNT01/1423324,OCS,Mammoth Academy,UQ Union,Riven,Volibear,Ekko,Ezreal,Sett,Urgot,Trundle,Cassiopeia,Senna,Karma,0
ESPORTSTMNT02/1405015,OCS,Dire Cubs,QUT Tigers,Sion,Nidalee,Azir,Senna,Braum,Hecarim,Graves,TwistedFate,Xayah,Rakan,0
ESPORTSTMNT01/1304928,CK,Spear Gaming,Team Dynamics,Aatrox,LeeSin,Lissandra,Aphelios,Thresh,Mordekaiser,JarvanIV,Cassiopeia,MissFortune,Nautilus,1
ESPORTSTMNT03/1403520,CK,Jin Air Green Wings,OZ Gaming,Renekton,Trundle,Orianna,Varus,Alistar,Jayce,Nidalee,TwistedFate,Kalista,Thresh,1
6299-7957,LDL,Bilibili Gaming Junior,WanZhen Esports Club,Aatrox,LeeSin,Galio,Ezreal,Yuumi,Renekton,Olaf,Leblanc,Sivir,Karma,0
6578-8913,LDL,Joy Dream,Dominus Esports Young,Shen,RekSai,Zoe,Kaisa,Blitzcrank,Camille,Nidalee,Galio,Ezreal,Morgana,0
ESPORTSTMNT06/1310347,EM,Sector One,Intrepid Fox Gaming,Sion,Gragas,Corki,Ezreal,Rakan,Renekton,Graves,Sylas,Kalista,Nautilus,1
6329-8064,LDL,Legend Esport Gaming,Bilibili Gaming Junior,Aatrox,Graves,Neeko,Varus,Braum,Renekton,Nidalee,Orianna,Aphelios,Thresh,0
ESPORTSTMNT01/1415198,LCK,Hanwha Life Esports,SeolHaeOne Prince,MonkeyKing,LeeSin,Galio,Ezreal,Yuumi,Gragas,Trundle,Zoe,Aphelios,Lulu,0
ESPORTSTMNT05/1410132,LEC,Team Vitality,Fnatic,Sett,RekSai,Zoe,Kaisa,Nautilus,Singed,LeeSin,Cassiopeia,MissFortune,Rakan,0
